,count
1,176540341
3,58732257
0,29788107
26,26794535
2,22252476
10,12760520
58,12663000
32,11080839
29,10637455
28,9037516
6,9013404
37,8885869
21,8512180
36,8031349
173,7530804
33,7424112
31,7312679
51,7263620
55,7208630
20,7192659
8,6784567
35,6723169
154,6623632
192,6573096
214,6552586
234,6270712
188,6156947
111,5954444
81,5735560
189,5726775
40,5413434
466,5248759
56,5176399
83,4923491
86,4912037
223,4810600
155,4718016
89,4564740
41,4559812
102,4424521
103,4248454
14,4240363
187,4145093
15,4141495
45,4082179
11,4057729
39,4050612
49,4037229
5,3922322
124,3922205
27,3918533
771,3779558
172,3749002
170,3748976
298,3741585
106,3715790
99,3709093
17,3680323
74,3666619
50,3661508
48,3640002
4016,3632254
92,3627280
110,3525211
582,3483828
1671,3474332
93,3463297
4,3462058
69,3452218
191,3404807
146,3248791
94,3210225
72,3182853
282,3167649
34,3120262
209,3113508
144,3103753
158,3081066
174,3003722
976,2944529
24,2846807
597,2845160
119,2801770
288,2789215
117,2766127
272,2758493
381,2744845
46,2674005
1170,2657333
164,2634524
203,2559075
57,2550812
125,2513170
271,2485384
631,2470628
1181,2468679
248,2455798
2357,2426844
19,2416306
163,2384848
23,2378900
644,2345324
198,2334781
1159,2319275
277,2309691
139,2300955
179,2292652
330,2292162
536,2250562
114,2236926
123,2227948
376,2222574
213,2221467
142,2202065
314,2200051
54,2192553
205,2191314
493,2177576
138,2160341
834,2128309
742,2108887
75,2106910
273,2100645
207,2084797
9,2053623
136,2045142
38,2039348
329,2036581
704,2032416
525,1971065
220,1969532
875,1940842
133,1926681
511,1923812
13,1916965
112,1910902
12731,1907731
134,1879504
615,1873612
458,1872497
436,1843608
115,1832719
118,1831781
255,1823640
18,1814144
665,1813544
7,1811292
958,1764956
434,1764038
160,1754712
734,1752648
605,1740153
237,1735376
178,1710162
98,1708897
257,1708885
479,1702972
9948,1695516
169,1665252
16457,1647860
274,1644958
328,1626629
353,1617135
176,1615032
221,1605041
4063,1585353
517,1579807
53,1572259
616,1555367
128,1548887
947,1548759
727,1545766
127,1538811
391,1536926
185,1530678
168,1507052
242,1495050
591,1486937
685,1475722
930,1465979
67,1459571
599,1446633
546,1441608
1056,1434269
935,1428550
77,1425516
494,1411715
783,1407072
159,1405487
105,1394270
90,1385112
334,1377478
348,1375267
441,1363336
390,1362094
95,1360667
260,1359612
97,1358460
431,1342764
412,1322344
215,1320893
79,1318128
539,1295620
559,1289238
65,1284294
1688,1266460
486,1263885
66,1244558
5270,1236899
210,1226052
335,1225743
1042,1225149
227,1223684
386,1219418
197,1212829
1328,1210567
349,1208910
130,1199805
109,1193220
316,1192506
310,1182906
297,1180207
331,1178062
91,1166344
296,1165556
42,1162543
361,1154222
61,1153802
671,1152174
59,1151784
498,1144072
1007,1143469
25,1132671
131,1119940
104,1117725
373,1114335
1770,1103666
1781,1095803
167,1092821
777,1092152
211,1079742
230,1077327
1739,1071949
268,1063876
71,1051279
440,1046838
425,1043026
1683,1042694
378,1041984
145,1039915
541,1036581
1634,1033051
457,1032056
1435,1028922
1299,1026375
1302,1023957
747,1018560
872,1011055
2701,1003102
619,1001670
1437,1000681
357,1000133
157,997209
252,995173
589,994254
196,993580
143,992241
52,979202
175,976344
318,976272
2228,971034
87,966522
857,964845
695,960343
562,959819
595,958256
18889,958111
1274,948785
397,946579
364,941366
1161,939779
262,932436
429,930784
1951,927695
651,926011
100,924654
177,923623
166,914847
673,914097
516,910532
70,902542
327,898105
2389,896329
1578,894264
1270,891604
1360,889733
287,887349
256,883744
204,880990
122,879321
405,870412
577,860962
847,859723
126,859689
1349,859424
1225,854024
409,853120
149,852279
688,844059
654,841341
181,832145
1984,831819
936,831160
522,830862
620,828115
1545,827347
3683,826350
621,825407
2546,825136
375,815895
448,815118
1222,814519
267,812218
897,801319
931,800417
800,794549
80,793802
1364,793780
773,791616
706,790318
180,785176
724,782418
592,781403
1718,777190
165,774049
743,773558
195,772572
1641,772513
415,769327
345,765213
421,764378
509,761467
537,757198
603,756023
2282,750490
531,749132
2853,748484
1111,745572
445,745244
60,744984
664,744583
13280,744256
300,743224
632,741507
1017,740669
251,728101
858,727651
1897,726653
572,726512
25072,726138
527,724644
2773,723501
1021,722592
292,722055
11884,720542
246,719830
278,717973
212,715750
1468,709439
879,707785
153,707204
2112,705503
137,703175
1676,702786
2312,699882
1354,694896
43,693659
63,691908
293,690404
893,690181
222,689298
3610,689016
152,686828
135,684325
141,683688
505,681519
678,680498
190,680404
1383,679692
132,678207
140,678129
799,675842
1483,675820
606,673943
201,672931
1277,672911
744,669887
1666,669531
414,669528
484,669412
661,668195
981,664852
4352,664106
5634,659123
755,658330
655,657482
991,655016
347,651522
455,640917
650,640168
535,639010
454,637744
344,636617
1155,633958
1303,632783
4680,632063
1279,631369
358,628769
285,626003
340,625892
848,625726
1964,624166
216,621077
2058,620616
2052,619373
4084,617572
668,613800
1217,613016
2672,612913
3691,611812
5112,608458
830,607508
438,607494
324,606205
712,603912
1192,600455
690,599257
30,598612
1805,597947
17107,597838
183,596837
47264,596742
2233,595161
101,594813
323,594069
495,591314
2683,590999
3084,590727
513,590329
3508,588732
477,586123
790,584235
544,581118
518,579687
909,579083
3105,576156
1766,575005
2293,571933
333,570758
1794,570364
4383,570268
156,569927
394,566444
3356,565198
881,564702
107,564353
2416,564222
442,564044
1948,563190
62,561758
933,561665
694,559398
193,558998
1580,558261
422,557336
2928,556738
728,555821
802,552430
1055,551638
626,551592
1965,551324
571,549439
545,545747
12,545560
245,543614
325,543176
1651,542133
2318,540333
1180,539396
1173,539373
1357,538797
68,538201
532,536881
2800,535093
778,534233
150,533643
1060,533106
240,530476
374,529102
225,529072
1760,527808
226,527666
1413,527227
1307,525941
877,525594
679,524802
1554,524346
6688,524338
258,523782
663,523452
13327,522708
1540,522679
687,521316
73,520722
3181,518866
561,517704
4241,517692
435,516581
6141,515574
385,512512
11733,512142
26500,511356
241,510669
1045,509439
326,507551
555,506200
254,502691
753,499675
949,498410
1054,497971
264,497798
1691,493432
343,493296
11649,491646
1705,490954
186,490882
2222,490673
384,488043
6013,487735
1531,487631
286,486745
490,486566
2899,485378
231,485148
84,483669
1047,479493
2121,479318
3008,478876
182,477079
3982,475845
515,475677
396,475609
239,472011
8287,469727
11875,467228
2638,463036
906,461128
817,460842
1487,458816
1009,458789
2352,458619
1488,457947
4133,456887
612,455986
3922,452801
10455,452336
1481,451924
1958,451789
1736,450997
3651,449768
11082,448727
550,447893
19536,447447
1168,446753
11681,446037
9559,446011
12364,445983
720,445939
467,444676
816,442317
739,441434
3071,440392
839,439726
1376,438880
815,438810
2187,438377
990,438324
6153,438309
14650,438198
270,435693
350,435623
5853,435110
715,434993
1967,434951
9082,434916
13189,433217
1782,432116
243,431153
147,431088
1894,430902
5499,429406
617,429161
5828,428872
2914,428743
581,428049
1373,427356
741,426034
867,425169
266,424453
2513,423159
786,422040
3098,421784
238,421659
1179,421487
1175,421303
1626,420498
795,420423
276,420303
3365,420250
4702,418951
501,418171
400,417538
4484,417430
307,417072
1391,416726
1251,416371
1973,416245
2371,415522
824,414085
496,413112
2344,412961
989,412761
2067,410915
69893,410068
6896,409862
365,409584
235,408077
2181,407699
540,407479
1096,407420
538,407055
291,406972
3500,406103
5441,406066
1806,404392
1150,403136
2457,401518
1073,399941
1088,399417
11002,399079
1216,398159
523,397407
711,396665
129,395917
2472,395002
416,394918
244,394759
49933,394497
10797,394074
653,393716
2948,392822
3217,392674
121,391922
339,391685
641,391241
444,391148
109662,389103
601,388843
4836,386496
1204,385197
9784,385022
519,384284
184,382387
512,381285
3153,381257
1288,380206
1652,379253
395,379182
1856,378951
76,377813
290,377229
284,377043
1075,376348
3545,376199
4206,375469
3605,372902
2406,370915
1100,370891
1143,369557
5336,369524
1735,369361
3916,368710
462,366679
1023,365703
3123,365401
1264,365055
108,364845
1729,363813
1988,362787
5037,362631
579,362142
281,361680
85,361230
417,360417
1453,360184
1401,358788
1003,358629
969,358229
1504,358055
3488,357443
355,357043
88,355903
4765,355777
2622,355314
1103,354596
643,354066
768,353397
2575,353116
763,351185
1070,350936
974,350685
2334,350274
294,349545
1896,349196
825,348255
408,347009
2383,346773
49473,346472
68120,346472
450,343822
1345,343799
280,343610
1788,343088
594,342754
1029,341608
217,340609
849,339269
120,339008
423,337661
459,337221
803,336952
219,336715
8115,335556
677,333529
1226,333229
1633,331902
1564,331347
451,331096
4678,330281
869,330169
984,328841
670,328788
2403,328197
1352,328191
4810,327562
973,327083
808,326211
1313,325927
553,325561
1390,325213
710,324938
6682,324067
2974,322670
491,322509
1567,321986
528,321101
3568,321045
4699,320701
1214,319928
915,318274
611,317245
554,316973
850,316688
4757,316292
265,315874
2374,315820
418,315664
7253,315588
5832,315011
752,314591
3023,314492
955,314439
3635,312067
