,count
31,4861600
6,3348328
75,2189125
27,2060443
12731,1771373
1545,1531282
48,1388825
38,1277731
2,1101883
117,994487
70,947974
100,884454
310,843230
17,831732
95,796060
383,784723
327,770745
4,766299
40,764365
46,739460
110,715897
126,702524
136,675149
298,674403
52,655948
290,641755
45,610431
72,609993
477,601946
65,597113
279,586753
71,577743
209,551586
25,550614
238,543285
518,540403
7,528984
158,517276
18,510690
32,507946
251,507788
115,507755
91,506157
143,503834
237,496795
13,491388
12,448492
67,444715
164,439589
180,437432
49,430869
271,429006
30,425467
219,422441
53,415644
109,413081
4189,408497
128,401258
79,399089
150,373653
434,363505
773,359389
679,349044
29,344893
60,334369
66,330788
201,328172
250,324890
2684,324437
225,319861
112,318299
531,311384
630,309886
105,308629
50,307833
230,307741
163,305826
20,300199
852,298797
11,298610
395,298506
196,297527
265,296642
122,295479
615,293544
62,291446
165,289154
16,287116
148,285264
371,283721
385,282958
437,281343
423,274423
76,273043
538,263889
239,262467
333,258612
61,255946
843,254000
43,251487
1120,251286
396,249401
217,245043
300,240801
159,238952
818,237800
42,235396
116,235290
64,230967
35,229106
276,228954
2820,225090
142,221613
44,221282
171,219108
270,218406
2108,216478
132,214477
3624,211749
568,208742
467,205313
877,201602
326,197921
328,197140
202,196466
254,194372
2151,193841
344,193280
243,193218
478,192671
1719,192416
449,191704
1683,191465
308,190773
366,189182
463,186254
152,185748
549,185537
426,183768
374,182099
291,181217
1277,180677
1073,180528
280,179968
469,178104
153,178039
82,177808
775,175313
41,173622
455,171852
598,169570
755,169090
406,169033
528,168609
286,168497
466,167487
278,166545
555,164041
57,163620
108,163381
711,163162
36,163014
241,160378
228,158265
402,157875
631,157212
682,156462
842,154544
609,154099
221,153816
2914,153534
613,152213
475,151691
1542,151688
340,151510
450,151473
558,149281
935,147670
335,147411
1098,146988
227,146424
210,144321
3632,144126
104,143700
204,143216
33,141953
235,141026
379,140925
96,140368
1136,140230
24,140150
59,139900
181,139469
249,138700
489,137370
0,137156
699,136456
353,136109
8993,135242
407,133689
584,133665
248,132709
534,132478
420,132471
88,132397
730,132375
245,131418
822,130922
131,130811
73,129065
233,128925
282,128696
69,128078
526,126176
705,126103
1294,125815
497,125268
1363,125154
683,124852
162,124576
491,124449
551,124422
289,123934
127,122502
157,122323
548,122283
19,121958
1229,121044
139,119663
667,119649
63,119006
562,118898
118,118611
121,118113
354,117923
1121,117784
2235,117706
166,117133
341,115755
820,115725
897,115666
191,115429
1185,114860
151,114399
505,114306
94,114273
1054,113490
267,111895
145,111785
336,111387
185,111194
550,111071
851,110899
1194,110746
700,110446
207,109092
281,107927
706,106585
332,106199
524,106027
788,105662
363,105116
182,104948
313,103277
1754,103065
68,102504
744,102489
772,102482
816,102050
678,101835
1816,101651
47,101454
462,101233
587,100479
314,100302
586,100207
211,100070
107,99704
184,99676
461,97691
231,96862
226,96603
140,96375
502,95695
1053,95145
1055,94563
838,94326
887,94102
1427,93998
971,93837
1066,93293
926,92547
208,92059
22,91548
917,91364
78,91268
1933,91092
735,90641
746,90564
540,90272
398,89773
891,89668
129,89619
1420,89267
299,88656
283,88393
3357,88027
337,87960
253,87865
487,87857
503,87752
410,87747
1156,87281
1009,87092
3897,86447
456,86255
2619,86254
144,85869
2316,85550
4106,85501
346,85332
156,85293
570,85224
223,84836
1091,84231
216,83869
189,83798
98,82695
925,82271
404,81944
446,81897
89,81337
195,80954
770,80580
4966,80073
726,79679
3057,79600
1550,78971
495,78950
1690,78435
849,78374
987,78179
1572,77995
413,77791
571,77676
1202,77354
197,77234
305,77151
857,77085
600,77020
10,76828
218,76712
2337,76551
318,76409
1568,76399
625,76184
199,76096
51,75706
532,75268
1183,75188
1996,74094
952,73119
982,73037
2417,72973
303,72875
382,72583
986,72516
1079,72239
2169,72220
1436,72208
1069,71796
488,70580
812,70574
339,70311
352,70298
890,70239
342,70205
14,69711
1723,69206
1316,69199
1916,69056
430,68971
443,68814
617,68699
212,68576
1128,68563
1027,68490
1459,67657
403,67561
2058,67365
1006,67010
978,66956
80,66683
1016,66629
575,66313
1622,66166
252,66087
97,65954
840,65763
686,65598
224,65545
236,65502
1575,65375
3257,65317
753,65065
657,64825
372,64545
206,64541
911,64183
633,64150
414,64134
567,64066
15,63848
807,63501
1106,63262
453,63227
875,63143
8,63101
1242,63035
269,62999
680,62941
367,62637
2504,62589
1107,62343
1291,62303
764,62176
473,62094
763,60935
359,60825
1808,60787
2824,60719
387,60577
929,60538
315,60460
324,59920
3988,59876
1818,59814
1557,59664
1124,59625
444,59450
1083,59228
356,59066
660,58842
384,58778
810,58736
3545,58691
295,58503
954,58410
689,57955
5,57888
102,57883
701,57758
1702,57621
912,57544
585,57485
368,57209
2542,57187
676,57156
1598,56944
2611,56860
3807,56817
1434,56798
507,56504
2720,56494
974,56480
373,56366
1406,56286
590,55974
1839,55701
255,55406
942,55330
1035,54973
56,54908
485,54834
1470,54785
637,54699
247,54682
120,54659
2306,54618
37,54521
1244,54485
602,54284
1926,54161
650,54109
351,54041
3081,54018
811,53914
1014,53807
494,53769
569,53757
1260,53639
1443,53348
3942,53268
606,53223
