,count
0,29828065
1,26016555
3,21360282
6,9406837
8,7533023
51,7131779
2,6728060
15,6595270
31,6511037
37,6273837
183,5969236
94,5811182
582,5319022
45,5313020
170,4550781
172,4550695
69,4165385
36,4025850
466,3761552
35,3440688
11,3233238
5,3224677
1270,3202984
685,3112299
34,3078583
75,2939781
138,2921361
27,2888286
74,2813116
158,2792539
209,2763875
50,2742705
54,2714635
164,2666962
106,2565764
149,2565137
32,2529093
271,2516905
40,2498330
615,2306222
203,2226539
4,2208494
42,2194324
93,2176208
48,2159283
98,2112589
29,2103724
99,2065235
72,2064319
117,2048736
91,2012957
46,2003240
334,1964714
114,1894738
110,1805132
616,1789062
55,1727082
142,1688949
10,1686082
12731,1641435
834,1634011
111,1629599
20,1627565
298,1623303
131,1582715
513,1563248
118,1548977
49,1541241
38,1514946
41,1504223
493,1498172
14,1466674
18,1436677
17,1404822
33,1287485
24,1280482
100,1269649
28,1268786
210,1246044
190,1240199
21,1202015
1545,1194778
133,1178812
53,1161903
248,1149643
207,1128203
23,1128127
115,1112293
572,1107528
136,1107001
25,1060525
83,1052731
2233,1050920
95,1029112
70,1022149
230,1020257
187,1010148
86,1004191
65,987031
2181,984637
3683,983179
169,958129
268,953517
292,934742
9,926989
290,925113
177,923536
126,917165
109,909877
7,908040
221,899189
144,897589
128,896242
26,895156
134,891968
13,891050
155,888881
2389,887832
787,884834
56,881577
436,867184
327,851497
186,841089
67,837988
237,836906
282,829703
314,824780
310,817493
405,814896
43,809971
198,805641
146,805242
1666,804874
66,804500
328,788589
71,786845
163,781856
1307,773081
287,766588
52,758764
124,748265
1060,744542
168,737210
105,737048
205,737040
112,736608
179,733915
61,728317
454,724237
536,714270
935,705081
123,702134
180,700428
2672,700289
277,695991
181,694421
1391,693806
39,693424
373,693065
434,689732
143,688345
213,685269
830,684246
532,682343
455,682162
178,682025
631,672743
79,668432
240,662803
258,662126
1683,660895
260,652926
353,652139
1437,645621
409,643808
189,631337
654,627692
973,625527
293,625426
89,621541
104,613300
331,612754
330,602912
318,601650
273,601135
156,595862
704,593617
62,592857
477,590442
677,577711
361,577427
531,576212
877,573861
223,561298
1958,558080
535,557787
817,556325
909,550152
174,546851
103,544063
197,543338
1120,542679
1023,538349
324,536919
2805,526552
390,521843
227,521086
335,516676
60,514606
486,512302
251,511141
773,506210
12,505201
90,505023
192,504780
122,502124
283,496066
394,489029
238,477619
256,477178
145,476573
990,476326
150,474871
204,474471
592,473028
790,468265
612,463815
165,459830
1540,458739
231,455116
4358,452820
1838,452615
159,452511
135,452130
311,451693
141,451616
306,451369
655,450813
523,450344
617,448655
467,446252
4136,444979
58052,444656
216,444346
220,443980
2668,443041
157,442456
450,440225
3545,435961
5853,435213
1769,433138
300,429820
139,429349
2914,428584
30,428138
1180,427884
152,424114
458,423302
1531,422154
460,420877
2956,420743
4340,419733
605,418782
357,417836
518,413304
211,413228
376,413100
755,410244
219,408914
59,403593
201,402864
4084,399289
2058,399037
1724,396477
167,394894
777,390942
329,388813
2371,385153
1225,384405
678,384169
792,383806
57,380942
875,380894
68,380625
727,379564
182,378122
1277,377973
121,377406
81,376214
1215,372755
2887,371504
242,371414
676,370903
3365,369560
11036,369063
3970,368372
408,367623
3688,367132
196,365217
5263,364776
4836,363437
10640,363238
1770,362796
255,362389
1189,361317
191,360954
76,359921
17527,359449
3488,359145
679,358944
225,358903
969,358583
1977,355822
63,353809
799,352826
278,352176
262,350877
279,350808
108,348954
348,348296
16,346164
595,345871
116,340556
101,336805
396,336244
286,331588
650,329853
245,329668
349,328320
545,326778
872,326146
107,323985
73,323489
2800,322672
2211,322360
475,321458
176,321146
1131,320217
344,318089
562,317199
294,316534
579,315147
188,313846
670,313733
423,313640
148,313462
1216,313150
1557,312364
235,312096
505,311889
92,310688
276,309177
239,308169
102,307062
243,306850
241,306773
215,306752
775,306454
441,305654
712,305321
3934,305170
160,303728
297,301685
185,301514
19,301314
857,300690
326,300040
44,299360
3982,298727
728,297762
296,295532
783,295329
1303,295048
1217,295005
265,295003
1564,294730
184,294285
246,291544
1357,290978
852,290043
673,288785
3528,288419
267,287519
621,287091
541,287016
528,286836
4810,286548
1288,285991
763,283119
350,282756
64,282058
325,282030
1024,281839
291,281194
1617,280565
825,280180
1316,279473
739,279218
573,279200
374,278477
333,278122
2303,275337
4809,275300
494,275237
385,275085
12637,273459
162,273162
3155,272666
415,271336
125,270553
3120,269929
429,269734
824,268812
1580,268458
2069,267675
166,265548
1435,264930
934,264895
2705,264894
270,264201
1979,263674
285,263636
901,263095
224,263048
132,261462
13189,261400
397,261051
10232,260690
154,260394
843,257600
1856,257223
119,256331
84,255971
440,255687
4969,254661
747,254538
4973,254016
1897,252534
630,251109
1328,251075
906,250699
2753,248881
1626,248712
620,248529
437,247885
5892,246762
449,244959
8044,243959
3050,243390
1586,242585
257,242413
2513,242314
2264,242145
144880,241955
1222,241176
1055,241041
264,240568
217,239553
77,239546
1301,239200
462,238579
2053,238219
2319,237891
171,237592
299,236965
234,236639
558,235989
1083,233668
78,231831
571,231367
3105,231280
511,231244
2518,230355
770,230050
195,229625
347,229377
87,228607
288,227736
1254,227668
752,226985
249,226849
2797,225948
2691,225910
2127,225859
972,225791
800,225260
323,225198
1512,225096
175,224889
3421,224745
3270,223866
625,223612
570,222375
250,221071
308,220757
2245,219473
359,219435
591,218923
130,218892
742,217611
58,217551
815,217368
2318,217123
8883,216981
82,216889
951,216862
496,216628
13200,215470
18567,215076
358,214005
137,213624
600,213563
1875,213529
490,212743
538,211913
568,211436
402,209768
75428,209381
713,208953
96,208144
153,206633
1542,205142
2750,205040
1376,204983
1460,204540
1916,202807
261,202481
1383,202315
284,201532
955,201529
3021,201361
457,201131
497,201046
1354,200422
1636,200100
818,199743
345,199381
613,199030
3582,197536
931,197341
406,197333
379,196857
1556,196044
1781,195486
597,194808
3508,194799
589,193722
3084,193608
88,192916
949,192460
6517,192305
469,191610
555,190574
549,190567
504,190071
1963,189978
2381,189091
970,189032
2306,188305
2460,188048
626,188024
942,187956
974,187540
254,186794
400,185909
274,184164
1633,183805
120,183409
1073,182788
4450,182767
551,181916
384,181058
426,180331
703,179176
